"","site_name","human_use","count_height","egg_count_index","egg_count","egg_count_index_1","caterpillar_count","site_name_1","human_use_1","eggs_ground","eggs_mid_tree","eggs_upper_tree"
"85","L01","Low","medium",NA,NA,NA,"low",NA,NA,NA,NA,NA
"86","L01","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"87","L01","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"88","L01","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"89","L01","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"90","L01","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"91","L01","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"92","L01","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"93","L01","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"94","L01","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"95","L01","Low","medium",0,"0",0,"none",NA,NA,NA,NA,NA
"96","L01","Low","medium",0,"0",0,"medium",NA,NA,NA,NA,NA
"97","L01","Low","medium",0,"0",0,"high",NA,NA,NA,NA,NA
"98","L01","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"99","L01","Low","medium",0,"0",0,"high",NA,NA,NA,NA,NA
"100","L01","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"101","L01","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"102","L01","Low","medium",0,"0",0,"medium",NA,NA,NA,NA,NA
"103","L010","Low","high",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"104","L010","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"105","L010","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"106","L010","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"107","L010","Low","high",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"108","L010","Low","high",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"109","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"110","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"111","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"112","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"113","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"114","L010","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"115","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"116","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"117","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"118","L010","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"119","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"120","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"121","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"122","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"123","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"124","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"125","L010","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"126","L010","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"127","L010","Low","low",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"128","L010","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"129","L010","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"130","L010","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"131","L010","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"132","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"133","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"134","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"135","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"136","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"137","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"138","L010","Low","low",0,"0",0,"low",NA,NA,NA,NA,NA
"139","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"140","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"141","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"142","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"143","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"144","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"145","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"146","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"147","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"148","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"149","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"150","L010","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"151","L010","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"152","L010","Low","medium",2.5,"low",2.5,"low",NA,NA,NA,NA,NA
"153","L010","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"154","L010","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"155","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"156","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"157","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"158","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"159","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"160","L010","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"161","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"162","L010","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"163","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"164","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"165","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"166","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"167","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"168","L010","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"169","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"170","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"171","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"172","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"173","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"174","L010","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"175","L011","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"176","L011","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"177","L011","Low","high",2.5,"low",2.5,"low",NA,NA,NA,NA,NA
"178","L011","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"179","L011","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"180","L011","Low","high",0,"0",0,"medium",NA,NA,NA,NA,NA
"181","L011","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"182","L011","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"183","L011","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"184","L011","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"185","L011","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"186","L011","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"187","L011","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"188","L011","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"189","L011","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"190","L011","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"191","L011","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"192","L011","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"193","L011","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"194","L011","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"195","L011","Low","low",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"196","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"197","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"198","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"199","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"200","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"201","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"202","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"203","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"204","L011","Low","low",0,"0",0,"low",NA,NA,NA,NA,NA
"205","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"206","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"207","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"208","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"209","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"210","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"211","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"212","L011","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"213","L011","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"214","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"215","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"216","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"217","L011","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"218","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"219","L011","Low","medium",0,"0",0,"medium",NA,NA,NA,NA,NA
"220","L011","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"221","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"222","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"223","L011","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"224","L011","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"225","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"226","L011","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"227","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"228","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"229","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"230","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"231","L011","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"232","L012","Low","high",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"233","L012","Low","high",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"234","L012","Low","high",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"235","L012","Low","high",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"236","L012","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"237","L012","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"238","L012","Low","high",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"239","L012","Low","high",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"240","L012","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"241","L012","Low","high",0,"0",0,"medium",NA,NA,NA,NA,NA
"242","L012","Low","high",0,"0",0,"high",NA,NA,NA,NA,NA
"243","L012","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"244","L012","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"245","L012","Low","low",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"246","L012","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"247","L012","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"248","L012","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"249","L012","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"250","L012","Low","low",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"251","L012","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"252","L012","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"253","L012","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"254","L012","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"255","L012","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"256","L012","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"257","L012","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"258","L012","Low","medium",2.5,"low",2.5,"low",NA,NA,NA,NA,NA
"259","L012","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"260","L012","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"261","L012","Low","medium",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"262","L012","Low","medium",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"263","L012","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"264","L012","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"265","L012","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"266","L012","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"267","L012","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"268","L012","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"269","L012","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"270","L012","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"271","L013","Low","high",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"272","L013","Low","high",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"273","L013","Low","high",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"274","L013","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"275","L013","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"276","L013","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"277","L013","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"278","L013","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"279","L013","Low","high",2.5,"low",2.5,"low",NA,NA,NA,NA,NA
"280","L013","Low","high",2.5,"low",2.5,"low",NA,NA,NA,NA,NA
"281","L013","Low","high",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"282","L013","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"283","L013","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"284","L013","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"285","L013","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"286","L013","Low","low",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"287","L013","Low","low",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"288","L013","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"289","L013","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"290","L013","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"291","L013","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"292","L013","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"293","L013","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"294","L013","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"295","L013","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"296","L013","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"297","L013","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"298","L013","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"299","L013","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"300","L013","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"301","L013","Low","medium",12.5,"high",12.5,"low",NA,NA,NA,NA,NA
"302","L013","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"303","L013","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"304","L013","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"305","L013","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"306","L013","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"307","L013","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"308","L013","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"309","L013","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"310","L013","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"311","L013","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"312","L013","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"313","L013","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"314","L013","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"315","L013","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"316","L014","Low","high",2.5,"low",2.5,"high",NA,NA,NA,NA,NA
"317","L014","Low","high",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"318","L014","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"319","L014","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"320","L014","Low","high",0,"0",0,"high",NA,NA,NA,NA,NA
"321","L014","Low","high",0,"0",0,"medium",NA,NA,NA,NA,NA
"322","L014","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"323","L014","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"324","L014","Low","high",0,"0",0,"low",NA,NA,NA,NA,NA
"325","L014","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"326","L014","Low","high",0,"0",0,"high",NA,NA,NA,NA,NA
"327","L014","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"328","L014","Low","high",0,"0",0,"medium",NA,NA,NA,NA,NA
"329","L014","Low","high",0,"0",0,"high",NA,NA,NA,NA,NA
"330","L014","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"331","L014","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"332","L014","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"333","L014","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"334","L014","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"335","L014","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"336","L014","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"337","L014","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"338","L014","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"339","L014","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"340","L014","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"341","L014","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"342","L014","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"343","L014","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"344","L014","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"345","L014","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"346","L014","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"347","L014","Low","medium",0,"0",0,"medium",NA,NA,NA,NA,NA
"348","L014","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"349","L014","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"350","L014","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"351","L014","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"352","L014","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"353","L014","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"354","L014","Low","medium",0,"0",0,"high",NA,NA,NA,NA,NA
"355","L014","Low","medium",0,"0",0,"0",NA,NA,NA,NA,NA
"356","L014","Low","medium",0,"0",0,"low",NA,NA,NA,NA,NA
"357","L014","Low","medium",0,"0",0,"high",NA,NA,NA,NA,NA
"358","L015","Low","high",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"359","L015","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"360","L015","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"361","L015","Low","high",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"362","L015","Low","high",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"363","L015","Low","high",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
"364","L015","Low","high",0,"0",0,"0",NA,NA,NA,NA,NA
"365","L015","Low","low",12.5,"high",12.5,"0",NA,NA,NA,NA,NA
"366","L015","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"367","L015","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"368","L015","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"369","L015","Low","low",7.5,"medium",7.5,"0",NA,NA,NA,NA,NA
