Site Name,Human Use,Count Height,Egg Count Index,Egg Count,Egg Count Index,Caterpillar Count,,Site Name,Human Use,EggsGround,EggsMidTree,EggsUpperTree,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L010,Low,medium,2.5,low,2.5,low,,,,,,,,,,
L010,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L010,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,low,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,low,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,low,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L010,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,high,2.5,low,2.5,none,,,,,,,,,,
L011,Low,high,2.5,low,2.5,none,,,,,,,,,,
L011,Low,high,2.5,low,2.5,low,,,,,,,,,,
L011,Low,high,0,none,0,low,,,,,,,,,,
L011,Low,high,0,none,0,none,,,,,,,,,,
L011,Low,high,0,none,0,medium,,,,,,,,,,
L011,Low,high,0,none,0,none,,,,,,,,,,
L011,Low,high,0,none,0,low,,,,,,,,,,
L011,Low,high,0,none,0,low,,,,,,,,,,
L011,Low,high,0,none,0,none,,,,,,,,,,
L011,Low,high,0,none,0,none,,,,,,,,,,
L011,Low,high,0,none,0,none,,,,,,,,,,
L011,Low,high,0,none,0,low,,,,,,,,,,
L011,Low,high,0,none,0,low,,,,,,,,,,
L011,Low,high,0,none,0,none,,,,,,,,,,
L011,Low,high,0,none,0,none,,,,,,,,,,
L011,Low,high,0,none,0,none,,,,,,,,,,
L011,Low,high,0,none,0,none,,,,,,,,,,
L011,Low,high,0,none,0,low,,,,,,,,,,
L011,Low,low,2.5,low,2.5,none,,,,,,,,,,
L011,Low,low,7.5,medium,7.5,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,low,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,low,0,none,0,none,,,,,,,,,,
L011,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,medium,0,none,0,low,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,medium,0,none,0,medium,,,,,,,,,,
L011,Low,medium,0,none,0,low,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,medium,0,none,0,low,,,,,,,,,,
L011,Low,medium,0,none,0,low,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,medium,0,none,0,low,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L011,Low,medium,0,none,0,none,,,,,,,,,,
L012,Low,high,12.5,high,12.5,none,,,,,,,,,,
L012,Low,high,12.5,high,12.5,none,,,,,,,,,,
L012,Low,high,12.5,high,12.5,none,,,,,,,,,,
L012,Low,high,12.5,high,12.5,none,,,,,,,,,,
L012,Low,high,2.5,low,2.5,none,,,,,,,,,,
L012,Low,high,2.5,low,2.5,none,,,,,,,,,,
L012,Low,high,7.5,medium,7.5,none,,,,,,,,,,
L012,Low,high,7.5,medium,7.5,none,,,,,,,,,,
L012,Low,high,0,none,0,none,,,,,,,,,,
L012,Low,high,0,none,0,medium,,,,,,,,,,
L012,Low,high,0,none,0,high,,,,,,,,,,
L012,Low,high,0,none,0,low,,,,,,,,,,
L012,Low,high,0,none,0,none,,,,,,,,,,
L012,Low,low,12.5,high,12.5,none,,,,,,,,,,
L012,Low,low,2.5,low,2.5,none,,,,,,,,,,
L012,Low,low,2.5,low,2.5,none,,,,,,,,,,
L012,Low,low,2.5,low,2.5,none,,,,,,,,,,
L012,Low,low,2.5,low,2.5,none,,,,,,,,,,
L012,Low,low,7.5,medium,7.5,none,,,,,,,,,,
L012,Low,low,0,none,0,none,,,,,,,,,,
L012,Low,low,0,none,0,none,,,,,,,,,,
L012,Low,low,0,none,0,none,,,,,,,,,,
L012,Low,low,0,none,0,none,,,,,,,,,,
L012,Low,low,0,none,0,none,,,,,,,,,,
L012,Low,low,0,none,0,none,,,,,,,,,,
L012,Low,low,0,none,0,none,,,,,,,,,,
L012,Low,medium,2.5,low,2.5,low,,,,,,,,,,
L012,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L012,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L012,Low,medium,7.5,medium,7.5,none,,,,,,,,,,
L012,Low,medium,7.5,medium,7.5,none,,,,,,,,,,
L012,Low,medium,0,none,0,none,,,,,,,,,,
L012,Low,medium,0,none,0,low,,,,,,,,,,
L012,Low,medium,0,none,0,low,,,,,,,,,,
L012,Low,medium,0,none,0,none,,,,,,,,,,
L012,Low,medium,0,none,0,none,,,,,,,,,,
L012,Low,medium,0,none,0,none,,,,,,,,,,
L012,Low,medium,0,none,0,none,,,,,,,,,,
L012,Low,medium,0,none,0,none,,,,,,,,,,
L013,Low,high,12.5,high,12.5,none,,,,,,,,,,
L013,Low,high,12.5,high,12.5,none,,,,,,,,,,
L013,Low,high,12.5,high,12.5,none,,,,,,,,,,
L013,Low,high,2.5,low,2.5,none,,,,,,,,,,
L013,Low,high,2.5,low,2.5,none,,,,,,,,,,
L013,Low,high,2.5,low,2.5,none,,,,,,,,,,
L013,Low,high,2.5,low,2.5,none,,,,,,,,,,
L013,Low,high,2.5,low,2.5,none,,,,,,,,,,
L013,Low,high,2.5,low,2.5,low,,,,,,,,,,
L013,Low,high,2.5,low,2.5,low,,,,,,,,,,
L013,Low,high,7.5,medium,7.5,none,,,,,,,,,,
L013,Low,high,0,none,0,none,,,,,,,,,,
L013,Low,high,0,none,0,none,,,,,,,,,,
L013,Low,high,0,none,0,low,,,,,,,,,,
L013,Low,high,0,none,0,none,,,,,,,,,,
L013,Low,low,12.5,high,12.5,none,,,,,,,,,,
L013,Low,low,12.5,high,12.5,none,,,,,,,,,,
L013,Low,low,2.5,low,2.5,none,,,,,,,,,,
L013,Low,low,2.5,low,2.5,none,,,,,,,,,,
L013,Low,low,0,none,0,none,,,,,,,,,,
L013,Low,low,0,none,0,none,,,,,,,,,,
L013,Low,low,0,none,0,none,,,,,,,,,,
L013,Low,low,0,none,0,none,,,,,,,,,,
L013,Low,low,0,none,0,none,,,,,,,,,,
L013,Low,low,0,none,0,none,,,,,,,,,,
L013,Low,low,0,none,0,none,,,,,,,,,,
L013,Low,low,0,none,0,none,,,,,,,,,,
L013,Low,low,0,none,0,none,,,,,,,,,,
L013,Low,low,0,none,0,none,,,,,,,,,,
L013,Low,low,0,none,0,none,,,,,,,,,,
L013,Low,medium,12.5,high,12.5,low,,,,,,,,,,
L013,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L013,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L013,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L013,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L013,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L013,Low,medium,0,none,0,none,,,,,,,,,,
L013,Low,medium,0,none,0,none,,,,,,,,,,
L013,Low,medium,0,none,0,none,,,,,,,,,,
L013,Low,medium,0,none,0,low,,,,,,,,,,
L013,Low,medium,0,none,0,none,,,,,,,,,,
L013,Low,medium,0,none,0,none,,,,,,,,,,
L013,Low,medium,0,none,0,none,,,,,,,,,,
L013,Low,medium,0,none,0,none,,,,,,,,,,
L013,Low,medium,0,none,0,low,,,,,,,,,,
L014,Low,high,2.5,low,2.5,high,,,,,,,,,,
L014,Low,high,7.5,medium,7.5,none,,,,,,,,,,
L014,Low,high,0,none,0,low,,,,,,,,,,
L014,Low,high,0,none,0,none,,,,,,,,,,
L014,Low,high,0,none,0,high,,,,,,,,,,
L014,Low,high,0,none,0,medium,,,,,,,,,,
L014,Low,high,0,none,0,low,,,,,,,,,,
L014,Low,high,0,none,0,none,,,,,,,,,,
L014,Low,high,0,none,0,low,,,,,,,,,,
L014,Low,high,0,none,0,none,,,,,,,,,,
L014,Low,high,0,none,0,high,,,,,,,,,,
L014,Low,high,0,none,0,none,,,,,,,,,,
L014,Low,high,0,none,0,medium,,,,,,,,,,
L014,Low,high,0,none,0,high,,,,,,,,,,
L014,Low,low,2.5,low,2.5,none,,,,,,,,,,
L014,Low,low,2.5,low,2.5,none,,,,,,,,,,
L014,Low,low,2.5,low,2.5,none,,,,,,,,,,
L014,Low,low,0,none,0,none,,,,,,,,,,
L014,Low,low,0,none,0,none,,,,,,,,,,
L014,Low,low,0,none,0,none,,,,,,,,,,
L014,Low,low,0,none,0,none,,,,,,,,,,
L014,Low,low,0,none,0,none,,,,,,,,,,
L014,Low,low,0,none,0,none,,,,,,,,,,
L014,Low,low,0,none,0,none,,,,,,,,,,
L014,Low,low,0,none,0,none,,,,,,,,,,
L014,Low,low,0,none,0,none,,,,,,,,,,
L014,Low,low,0,none,0,none,,,,,,,,,,
L014,Low,low,0,none,0,none,,,,,,,,,,
L014,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L014,Low,medium,0,none,0,none,,,,,,,,,,
L014,Low,medium,0,none,0,low,,,,,,,,,,
L014,Low,medium,0,none,0,medium,,,,,,,,,,
L014,Low,medium,0,none,0,low,,,,,,,,,,
L014,Low,medium,0,none,0,low,,,,,,,,,,
L014,Low,medium,0,none,0,low,,,,,,,,,,
L014,Low,medium,0,none,0,none,,,,,,,,,,
L014,Low,medium,0,none,0,none,,,,,,,,,,
L014,Low,medium,0,none,0,none,,,,,,,,,,
L014,Low,medium,0,none,0,high,,,,,,,,,,
L014,Low,medium,0,none,0,none,,,,,,,,,,
L014,Low,medium,0,none,0,low,,,,,,,,,,
L014,Low,medium,0,none,0,high,,,,,,,,,,
L015,Low,high,12.5,high,12.5,none,,,,,,,,,,
L015,Low,high,2.5,low,2.5,none,,,,,,,,,,
L015,Low,high,2.5,low,2.5,none,,,,,,,,,,
L015,Low,high,2.5,low,2.5,none,,,,,,,,,,
L015,Low,high,7.5,medium,7.5,none,,,,,,,,,,
L015,Low,high,7.5,medium,7.5,none,,,,,,,,,,
L015,Low,high,0,none,0,none,,,,,,,,,,
L015,Low,low,12.5,high,12.5,none,,,,,,,,,,
L015,Low,low,2.5,low,2.5,none,,,,,,,,,,
L015,Low,low,2.5,low,2.5,none,,,,,,,,,,
L015,Low,low,2.5,low,2.5,none,,,,,,,,,,
L015,Low,low,7.5,medium,7.5,none,,,,,,,,,,
L015,Low,low,7.5,medium,7.5,none,,,,,,,,,,
L015,Low,low,7.5,medium,7.5,none,,,,,,,,,,
L015,Low,medium,2.5,low,2.5,low,,,,,,,,,,
L015,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L015,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L015,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L015,Low,medium,7.5,medium,7.5,low,,,,,,,,,,
L015,Low,medium,0,none,0,low,,,,,,,,,,
L015,Low,medium,0,none,0,none,,,,,,,,,,
L016,Low,high,12.5,high,12.5,low,,,,,,,,,,
L016,Low,high,12.5,high,12.5,none,,,,,,,,,,
L016,Low,high,2.5,low,2.5,none,,,,,,,,,,
L016,Low,high,2.5,low,2.5,none,,,,,,,,,,
L016,Low,high,2.5,low,2.5,none,,,,,,,,,,
L016,Low,high,0,none,0,high,,,,,,,,,,
L016,Low,high,0,none,0,none,,,,,,,,,,
L016,Low,high,0,none,0,medium,,,,,,,,,,
L016,Low,high,0,none,0,high,,,,,,,,,,
L016,Low,high,0,none,0,medium,,,,,,,,,,
L016,Low,high,0,none,0,high,,,,,,,,,,
L016,Low,high,0,none,0,none,,,,,,,,,,
L016,Low,high,0,none,0,none,,,,,,,,,,
L016,Low,high,0,none,0,none,,,,,,,,,,
L016,Low,high,0,none,0,low,,,,,,,,,,
L016,Low,high,0,none,0,none,,,,,,,,,,
L016,Low,high,0,none,0,high,,,,,,,,,,
L016,Low,high,0,none,0,high,,,,,,,,,,
L016,Low,high,0,none,0,none,,,,,,,,,,
L016,Low,high,0,none,0,none,,,,,,,,,,
L016,Low,high,0,none,0,medium,,,,,,,,,,
L016,Low,high,0,none,0,none,,,,,,,,,,
L016,Low,high,0,none,0,medium,,,,,,,,,,
L016,Low,high,0,none,0,high,,,,,,,,,,
L016,Low,low,12.5,high,12.5,none,,,,,,,,,,
L016,Low,low,12.5,high,12.5,none,,,,,,,,,,
L016,Low,low,2.5,low,2.5,none,,,,,,,,,,
L016,Low,low,2.5,low,2.5,none,,,,,,,,,,
L016,Low,low,2.5,low,2.5,none,,,,,,,,,,
L016,Low,low,2.5,low,2.5,none,,,,,,,,,,
L016,Low,low,2.5,low,2.5,none,,,,,,,,,,
L016,Low,low,2.5,low,2.5,none,,,,,,,,,,
L016,Low,low,2.5,low,2.5,none,,,,,,,,,,
L016,Low,low,2.5,low,2.5,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,low,0,none,0,low,,,,,,,,,,
L016,Low,low,0,none,0,none,,,,,,,,,,
L016,Low,medium,12.5,high,12.5,low,,,,,,,,,,
L016,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L016,Low,medium,2.5,low,2.5,low,,,,,,,,,,
L016,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L016,Low,medium,0,none,0,medium,,,,,,,,,,
L016,Low,medium,0,none,0,none,,,,,,,,,,
L016,Low,medium,0,none,0,low,,,,,,,,,,
L016,Low,medium,0,none,0,low,,,,,,,,,,
L016,Low,medium,0,none,0,low,,,,,,,,,,
L016,Low,medium,0,none,0,none,,,,,,,,,,
L016,Low,medium,0,none,0,none,,,,,,,,,,
L016,Low,medium,0,none,0,none,,,,,,,,,,
L016,Low,medium,0,none,0,none,,,,,,,,,,
L016,Low,medium,0,none,0,low,,,,,,,,,,
L016,Low,medium,0,none,0,medium,,,,,,,,,,
L016,Low,medium,0,none,0,none,,,,,,,,,,
L016,Low,medium,0,none,0,low,,,,,,,,,,
L016,Low,medium,0,none,0,medium,,,,,,,,,,
L016,Low,medium,0,none,0,none,,,,,,,,,,
L016,Low,medium,0,none,0,none,,,,,,,,,,
L016,Low,medium,0,none,0,low,,,,,,,,,,
L016,Low,medium,0,none,0,none,,,,,,,,,,
L016,Low,medium,0,none,0,low,,,,,,,,,,
L016,Low,medium,0,none,0,none,,,,,,,,,,
L017,Low,high,12.5,high,12.5,none,,,,,,,,,,
L017,Low,high,12.5,high,12.5,none,,,,,,,,,,
L017,Low,high,12.5,high,12.5,none,,,,,,,,,,
L017,Low,high,12.5,high,12.5,none,,,,,,,,,,
L017,Low,high,2.5,low,2.5,none,,,,,,,,,,
L017,Low,high,2.5,low,2.5,low,,,,,,,,,,
L017,Low,high,7.5,medium,7.5,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,low,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,none,,,,,,,,,,
L017,Low,high,,no entry,,low,,,,,,,,,,
L017,Low,high,0,none,0,low,,,,,,,,,,
L017,Low,high,0,none,0,low,,,,,,,,,,
L017,Low,high,0,none,0,low,,,,,,,,,,
L017,Low,high,0,none,0,none,,,,,,,,,,
L017,Low,high,0,none,0,none,,,,,,,,,,
L017,Low,high,0,none,0,medium,,,,,,,,,,
L017,Low,high,0,none,0,medium,,,,,,,,,,
L017,Low,low,2.5,low,2.5,none,,,,,,,,,,
L017,Low,low,2.5,low,2.5,low,,,,,,,,,,
L017,Low,low,2.5,low,2.5,none,,,,,,,,,,
L017,Low,low,7.5,medium,7.5,none,,,,,,,,,,
L017,Low,low,,no entry,,none,,,,,,,,,,
L017,Low,low,,no entry,,none,,,,,,,,,,
L017,Low,low,,no entry,,none,,,,,,,,,,
L017,Low,low,,no entry,,none,,,,,,,,,,
L017,Low,low,,no entry,,none,,,,,,,,,,
L017,Low,low,,no entry,,none,,,,,,,,,,
L017,Low,low,,no entry,,low,,,,,,,,,,
L017,Low,low,,no entry,,none,,,,,,,,,,
L017,Low,low,,no entry,,low,,,,,,,,,,
L017,Low,low,,no entry,,none,,,,,,,,,,
L017,Low,low,,no entry,,none,,,,,,,,,,
