Site Name,Human Use,Tree ID,DBH (cm),Date,Time,Temp C,Humidity,In Center,Count Height,Egg Count,Caterpillar Count,Notes,Entered by
H01,High,black cherry,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,Ostrya virginiana,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,trembling aspen,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,black cherry,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,low,no entry,low,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,Ostrya virginiana,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,trembling aspen,no entry,16-Jun,9:35,22,70%,No,low,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,black cherry,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,medium,no entry,low,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,white ash,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,Ostrya virginiana,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H01,High,trembling aspen,no entry,16-Jun,9:35,22,70%,No,medium,no entry,none,,
H010,High,sugar maple,2.8,02-Jun,9:17,14,78%,Yes,high,none,none,,
H010,High,sugar maple,28.8,02-Jun,9:17,14,78%,Yes,high,medium,none,,
H010,High,sugar maple,4.2,02-Jun,9:17,14,78%,Yes,high,low,none,,
H010,High,sugar maple,18.5,02-Jun,9:17,14,78%,Yes,high,low,none,,
H010,High,sugar maple,1.4,02-Jun,9:17,14,78%,Yes,high,none,none,,
H010,High,dead,5,02-Jun,9:17,14,78%,Yes,high,none,none,,
H010,High,sugar maple,2.9,02-Jun,9:17,14,78%,Yes,high,none,low,,
H010,High,sugar maple,2.9,02-Jun,9:17,14,78%,Yes,high,none,none,,
H010,High,sugar maple,2.8,02-Jun,9:17,14,78%,Yes,low,none,none,,
H010,High,sugar maple,28.8,02-Jun,9:17,14,78%,Yes,low,medium,none,,
H010,High,sugar maple,4.2,02-Jun,9:17,14,78%,Yes,low,none,none,,
H010,High,sugar maple,18.5,02-Jun,9:17,14,78%,Yes,low,high,none,,
H010,High,sugar maple,1.4,02-Jun,9:17,14,78%,Yes,low,low,none,,
H010,High,dead,5,02-Jun,9:17,14,78%,Yes,low,none,none,,
H010,High,sugar maple,2.9,02-Jun,9:17,14,78%,Yes,low,none,none,,
H010,High,sugar maple,2.9,02-Jun,9:17,14,78%,Yes,low,low,none,,
H010,High,sugar maple,2.8,02-Jun,9:17,14,78%,Yes,medium,low,none,,
H010,High,sugar maple,28.8,02-Jun,9:17,14,78%,Yes,medium,low,none,,
H010,High,sugar maple,4.2,02-Jun,9:17,14,78%,Yes,medium,low,none,,
H010,High,sugar maple,18.5,02-Jun,9:17,14,78%,Yes,medium,low,none,,
H010,High,sugar maple,1.4,02-Jun,9:17,14,78%,Yes,medium,none,none,,
H010,High,dead,5,02-Jun,9:17,14,78%,Yes,medium,none,none,,
H010,High,sugar maple,2.9,02-Jun,9:17,14,78%,Yes,medium,none,none,,
H010,High,sugar maple,2.9,02-Jun,9:17,14,78%,Yes,medium,low,none,,
H010,High,dead,12.5,02-Jun,9:17,14,78%,No,high,low,none,,
H010,High,sugar maple,3,02-Jun,9:17,14,78%,No,high,none,low,,
H010,High,sugar maple,1.3,02-Jun,9:17,14,78%,No,high,none,none,,
H010,High,sugar maple,3.4,02-Jun,9:17,14,78%,No,high,none,low,,
H010,High,dead,4.8,02-Jun,9:17,14,78%,No,high,none,none,,
H010,High,sugar maple,1.6,02-Jun,9:17,14,78%,No,high,none,low,,
H010,High,sugar maple,3,02-Jun,9:17,14,78%,No,high,none,none,,
H010,High,sugar maple,2.4,02-Jun,9:17,14,78%,No,high,low,none,,
H010,High,Ostrya virginiana,8.5,02-Jun,9:17,14,78%,No,high,medium,none,,
H010,High,red oak,2.7,02-Jun,9:17,14,78%,No,high,none,low,,
H010,High,elm,5,02-Jun,9:17,14,78%,No,high,none,none,,
H010,High,sugar maple,9.8,02-Jun,9:17,14,78%,No,high,medium,none,,
H010,High,dead,3.8,02-Jun,9:17,14,78%,No,high,low,none,,
H010,High,Fraxinus pennsylvanica,1.8,02-Jun,9:17,14,78%,No,high,none,none,,
H010,High,dead,8.4,02-Jun,9:00,14,78%,No,high,none,none,,
H010,High,dead,6.7,02-Jun,9:00,14,78%,No,high,none,none,,
H010,High,sugar maple,4.6,02-Jun,9:00,14,78%,No,high,none,low,,
H010,High,red oak,5.5,02-Jun,9:00,14,78%,No,high,low,medium,,
H010,High,dead,3.4,02-Jun,9:00,14,78%,No,high,high,none,,
H010,High,red oak,17,02-Jun,9:00,14,78%,No,high,high,none,,
H010,High,sugar maple,8.7,02-Jun,9:00,14,78%,No,high,medium,none,,
H010,High,dead,4.3,02-Jun,9:00,14,78%,No,high,low,none,,
H010,High,grey birch,9.5,02-Jun,9:00,14,78%,No,high,low,none,,
H010,High,grey birch,14,02-Jun,9:00,14,78%,No,high,low,none,,
H010,High,dead,16.8,02-Jun,9:30,14,78%,No,high,low,none,,
H010,High,sugar maple,4.4,02-Jun,9:30,14,78%,No,high,low,medium,,
H010,High,sugar maple,8.7,02-Jun,9:30,14,78%,No,high,medium,none,leaves were found eaten,
H010,High,sugar maple,8.6,02-Jun,9:30,14,78%,No,high,medium,low,leaves were found eaten,
H010,High,dead,12.5,02-Jun,9:17,14,78%,No,low,none,none,,
H010,High,sugar maple,3,02-Jun,9:17,14,78%,No,low,none,none,,
H010,High,sugar maple,1.3,02-Jun,9:17,14,78%,No,low,none,none,,
H010,High,sugar maple,3.4,02-Jun,9:17,14,78%,No,low,none,none,,
H010,High,dead,4.8,02-Jun,9:17,14,78%,No,low,none,none,,
H010,High,sugar maple,1.6,02-Jun,9:17,14,78%,No,low,none,none,,
H010,High,sugar maple,3,02-Jun,9:17,14,78%,No,low,low,none,,
H010,High,sugar maple,2.4,02-Jun,9:17,14,78%,No,low,none,none,,
H010,High,Ostrya virginiana,8.5,02-Jun,9:17,14,78%,No,low,low,none,"common name: American hophornbeam, ironwood",
H010,High,red oak,2.7,02-Jun,9:17,14,78%,No,low,low,none,,
H010,High,elm,5,02-Jun,9:17,14,78%,No,low,none,none,,
H010,High,sugar maple,9.8,02-Jun,9:17,14,78%,No,low,medium,none,,
H010,High,dead,3.8,02-Jun,9:17,14,78%,No,low,none,none,,
H010,High,Fraxinus pennsylvanica,1.8,02-Jun,9:17,14,78%,No,low,none,none,common name: green ash,
H010,High,dead,8.4,02-Jun,9:00,14,78%,No,low,none,none,,
H010,High,dead,6.7,02-Jun,9:00,14,78%,No,low,none,none,,
H010,High,sugar maple,4.6,02-Jun,9:00,14,78%,No,low,none,low,,
H010,High,red oak,5.5,02-Jun,9:00,14,78%,No,low,low,high,,
H010,High,dead,3.4,02-Jun,9:00,14,78%,No,low,none,none,,
H010,High,red oak,17,02-Jun,9:00,14,78%,No,low,none,none,,
H010,High,sugar maple,8.7,02-Jun,9:00,14,78%,No,low,low,none,,
H010,High,dead,4.3,02-Jun,9:00,14,78%,No,low,none,none,,
H010,High,grey birch,9.5,02-Jun,9:00,14,78%,No,low,low,none,,
H010,High,grey birch,14,02-Jun,9:00,14,78%,No,low,low,none,,
H010,High,dead,16.8,02-Jun,9:30,14,78%,No,low,low,none,,
H010,High,sugar maple,4.4,02-Jun,9:30,14,78%,No,low,none,low,,
H010,High,sugar maple,8.7,02-Jun,9:30,14,78%,No,low,low,none,leaves were found eaten,
H010,High,sugar maple,8.6,02-Jun,9:30,14,78%,No,low,none,none,leaves were found eaten,
H010,High,dead,12.5,02-Jun,9:17,14,78%,No,medium,medium,none,,
H010,High,sugar maple,3,02-Jun,9:17,14,78%,No,medium,none,none,,
H010,High,sugar maple,1.3,02-Jun,9:17,14,78%,No,medium,none,none,,
H010,High,sugar maple,3.4,02-Jun,9:17,14,78%,No,medium,none,none,,
H010,High,dead,4.8,02-Jun,9:17,14,78%,No,medium,none,none,,
H010,High,sugar maple,1.6,02-Jun,9:17,14,78%,No,medium,low,none,,
H010,High,sugar maple,3,02-Jun,9:17,14,78%,No,medium,low,none,,
H010,High,sugar maple,2.4,02-Jun,9:17,14,78%,No,medium,low,none,,
H010,High,Ostrya virginiana,8.5,02-Jun,9:17,14,78%,No,medium,low,none,,
H010,High,red oak,2.7,02-Jun,9:17,14,78%,No,medium,none,none,,
H010,High,elm,5,02-Jun,9:17,14,78%,No,medium,none,none,,
H010,High,sugar maple,9.8,02-Jun,9:17,14,78%,No,medium,low,none,,
H010,High,dead,3.8,02-Jun,9:17,14,78%,No,medium,low,none,,
H010,High,Fraxinus pennsylvanica,1.8,02-Jun,9:17,14,78%,No,medium,none,none,,
H010,High,dead,8.4,02-Jun,9:00,14,78%,No,medium,none,none,,
H010,High,dead,6.7,02-Jun,9:00,14,78%,No,medium,none,none,,
H010,High,sugar maple,4.6,02-Jun,9:00,14,78%,No,medium,none,low,,
H010,High,red oak,5.5,02-Jun,9:00,14,78%,No,medium,low,high,,
H010,High,dead,3.4,02-Jun,9:00,14,78%,No,medium,high,none,,
H010,High,red oak,17,02-Jun,9:00,14,78%,No,medium,low,none,,
H010,High,sugar maple,8.7,02-Jun,9:00,14,78%,No,medium,medium,none,,
H010,High,dead,4.3,02-Jun,9:00,14,78%,No,medium,low,none,,
H010,High,grey birch,9.5,02-Jun,9:00,14,78%,No,medium,low,none,,
H010,High,grey birch,14,02-Jun,9:00,14,78%,No,medium,medium,none,,
H010,High,dead,16.8,02-Jun,9:30,14,78%,No,medium,low,none,,
H010,High,sugar maple,4.4,02-Jun,9:30,14,78%,No,medium,low,low,,
H010,High,sugar maple,8.7,02-Jun,9:30,14,78%,No,medium,low,none,leaves were found eaten,
H010,High,sugar maple,8.6,02-Jun,9:30,14,78%,No,medium,low,none,leaves were found eaten,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,Yes,high,no entry,none,,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,Yes,high,no entry,none,,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,Yes,low,no entry,none,,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,Yes,low,no entry,none,,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,Yes,medium,no entry,none,,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,Yes,medium,no entry,none,,
H011,High,red oak,no entry,21-Jun,9:56,18,63%,No,high,no entry,none,,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,No,high,no entry,none,,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,No,high,no entry,none,,
H011,High,Ostrya virginiana,no entry,21-Jun,9:56,18,63%,No,high,no entry,low,,
H011,High,Ostrya virginiana,no entry,21-Jun,9:56,18,63%,No,high,no entry,low,,
H011,High,red oak,no entry,21-Jun,9:56,18,63%,No,high,no entry,none,,
H011,High,red oak,no entry,21-Jun,9:56,18,63%,No,low,no entry,none,,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,No,low,no entry,none,,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,No,low,no entry,none,,
H011,High,Ostrya virginiana,no entry,21-Jun,9:56,18,63%,No,low,no entry,none,,
H011,High,Ostrya virginiana,no entry,21-Jun,9:56,18,63%,No,low,no entry,none,,
H011,High,red oak,no entry,21-Jun,9:56,18,63%,No,low,no entry,low,,
H011,High,red oak,no entry,21-Jun,9:56,18,63%,No,medium,no entry,none,,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,No,medium,no entry,none,,
H011,High,white ash,no entry,21-Jun,9:56,18,63%,No,medium,no entry,low,,
H011,High,Ostrya virginiana,no entry,21-Jun,9:56,18,63%,No,medium,no entry,none,,
H011,High,Ostrya virginiana,no entry,21-Jun,9:56,18,63%,No,medium,no entry,medium,,
H011,High,red oak,no entry,21-Jun,9:56,18,63%,No,medium,no entry,low,,
H015,High,american beech,8.8,07-Jun,10:00,19,65%,Yes,high,low,low,,
H015,High,american beech,5.5,07-Jun,10:00,19,65%,Yes,high,none,low,,
H015,High,american beech,8.8,07-Jun,10:00,19,65%,Yes,low,low,none,,
H015,High,american beech,5.5,07-Jun,10:00,19,65%,Yes,low,low,none,,
H015,High,american beech,8.8,07-Jun,10:00,19,65%,Yes,medium,low,low,,
H015,High,american beech,5.5,07-Jun,10:00,19,65%,Yes,medium,none,low,,
H015,High,american beech,34.5,07-Jun,10:00,19,65%,No,high,none,none,multiple trunks,
H015,High,dead,1.6,07-Jun,10:00,19,65%,No,high,none,none,,
H015,High,american beech,3.2,07-Jun,10:00,19,65%,No,high,none,low,,
H015,High,american beech,2,07-Jun,10:00,19,65%,No,high,none,low,,
H015,High,dead,1.7,07-Jun,10:00,19,65%,No,high,none,none,,
H015,High,dead,1.1,07-Jun,10:00,19,65%,No,high,none,none,,
H015,High,american beech,36,07-Jun,10:00,19,65%,No,high,medium,none,,
H015,High,american beech,4.9,07-Jun,10:00,19,65%,No,high,low,low,,
H015,High,dead,7.9,07-Jun,10:10,19,65%,No,high,none,none,,
H015,High,american beech,5.6,07-Jun,10:10,19,65%,No,high,low,low,,
H015,High,sugar maple,45.9,07-Jun,10:10,19,65%,No,high,none,none,,
H015,High,american beech,14.1,07-Jun,10:10,19,65%,No,high,low,none,,
H015,High,american beech,5.8,07-Jun,10:10,19,65%,No,high,low,low,,
H015,High,dead,7.7,07-Jun,10:10,19,65%,No,high,none,none,,
H015,High,american beech,10.9,07-Jun,10:10,19,65%,No,high,low,none,,
H015,High,american beech,30,07-Jun,10:10,19,65%,No,high,medium,none,,
H015,High,american beech,3.5,07-Jun,10:10,19,65%,No,high,none,low,,
H015,High,american beech,1.1,07-Jun,10:10,19,65%,No,high,none,none,,
H015,High,dead,4.8,07-Jun,10:10,19,65%,No,high,none,none,,
H015,High,dead,4.2,07-Jun,10:10,19,65%,No,high,none,none,,
H015,High,american beech,47,07-Jun,10:10,19,65%,No,high,high,none,,
H015,High,sugar maple,46.1,07-Jun,10:10,19,65%,No,high,medium,none,,
H015,High,american beech,3.3,07-Jun,10:00,19,65%,No,high,none,medium,,
H015,High,american beech,13.7,07-Jun,10:15,19,65%,No,high,low,none,,
H015,High,american beech,1.7,07-Jun,10:15,19,65%,No,high,none,low,,
H015,High,dead,9.4,07-Jun,10:15,19,65%,No,high,low,none,,
H015,High,sugar maple,20,07-Jun,10:15,19,65%,No,high,low,low,,
H015,High,american beech,34.5,07-Jun,10:00,19,65%,No,low,low,none,multiple trunks,
H015,High,dead,1.6,07-Jun,10:00,19,65%,No,low,none,none,,
H015,High,american beech,3.2,07-Jun,10:00,19,65%,No,low,low,none,,
H015,High,american beech,2,07-Jun,10:00,19,65%,No,low,none,none,,
H015,High,dead,1.7,07-Jun,10:00,19,65%,No,low,low,none,,
H015,High,dead,1.1,07-Jun,10:00,19,65%,No,low,none,none,,
H015,High,american beech,36,07-Jun,10:00,19,65%,No,low,medium,none,,
H015,High,american beech,4.9,07-Jun,10:00,19,65%,No,low,none,none,,
H015,High,dead,7.9,07-Jun,10:10,19,65%,No,low,none,none,,
H015,High,american beech,5.6,07-Jun,10:10,19,65%,No,low,none,none,,
H015,High,sugar maple,45.9,07-Jun,10:10,19,65%,No,low,low,none,,
H015,High,american beech,14.1,07-Jun,10:10,19,65%,No,low,none,none,,
H015,High,american beech,5.8,07-Jun,10:10,19,65%,No,low,none,none,,
H015,High,dead,7.7,07-Jun,10:10,19,65%,No,low,none,none,,
H015,High,american beech,10.9,07-Jun,10:10,19,65%,No,low,none,none,,
H015,High,american beech,30,07-Jun,10:10,19,65%,No,low,medium,none,,
H015,High,american beech,3.5,07-Jun,10:10,19,65%,No,low,none,none,,
H015,High,american beech,1.1,07-Jun,10:10,19,65%,No,low,none,none,,
H015,High,dead,4.8,07-Jun,10:10,19,65%,No,low,none,none,,
H015,High,dead,4.2,07-Jun,10:10,19,65%,No,low,none,none,,
H015,High,american beech,47,07-Jun,10:10,19,65%,No,low,low,low,,
H015,High,sugar maple,46.1,07-Jun,10:10,19,65%,No,low,low,none,,
H015,High,american beech,3.3,07-Jun,10:00,19,65%,No,low,none,none,,
H015,High,american beech,13.7,07-Jun,10:15,19,65%,No,low,none,none,,
H015,High,american beech,1.7,07-Jun,10:15,19,65%,No,low,none,none,,
H015,High,dead,9.3,07-Jun,10:15,19,65%,No,low,low,none,,
H015,High,sugar maple,20,07-Jun,10:15,19,65%,No,low,low,none,,
H015,High,american beech,34.5,07-Jun,10:00,19,65%,No,medium,low,none,multiple trunks,
H015,High,dead,1.6,07-Jun,10:00,19,65%,No,medium,none,none,,
H015,High,american beech,3.2,07-Jun,10:00,19,65%,No,medium,none,low,,
H015,High,american beech,2,07-Jun,10:00,19,65%,No,medium,none,low,,
H015,High,dead,1.7,07-Jun,10:00,19,65%,No,medium,none,none,,
H015,High,dead,1.1,07-Jun,10:00,19,65%,No,medium,low,none,,
H015,High,american beech,36,07-Jun,10:00,19,65%,No,medium,low,low,,
H015,High,american beech,4.9,07-Jun,10:00,19,65%,No,medium,none,none,,
H015,High,dead,7.9,07-Jun,10:10,19,65%,No,medium,none,none,,
H015,High,american beech,5.6,07-Jun,10:10,19,65%,No,medium,none,none,,
H015,High,sugar maple,45.9,07-Jun,10:10,19,65%,No,medium,low,none,,
H015,High,american beech,14.1,07-Jun,10:10,19,65%,No,medium,low,none,,
H015,High,american beech,5.8,07-Jun,10:10,19,65%,No,medium,none,none,,
H015,High,dead,7.7,07-Jun,10:10,19,65%,No,medium,low,none,,
H015,High,american beech,10.9,07-Jun,10:10,19,65%,No,medium,none,none,,
H015,High,american beech,30,07-Jun,10:10,19,65%,No,medium,low,none,,
H015,High,american beech,3.5,07-Jun,10:10,19,65%,No,medium,low,none,,
H015,High,american beech,1.1,07-Jun,10:10,19,65%,No,medium,none,none,,
H015,High,dead,4.8,07-Jun,10:10,19,65%,No,medium,none,none,,
H015,High,dead,4.2,07-Jun,10:10,19,65%,No,medium,none,none,,
H015,High,american beech,47,07-Jun,10:10,19,65%,No,medium,high,low,,
H015,High,sugar maple,46.1,07-Jun,10:10,19,65%,No,medium,medium,none,,
H015,High,american beech,3.3,07-Jun,10:00,19,65%,No,medium,none,low,,
H015,High,american beech,13.7,07-Jun,10:15,19,65%,No,medium,none,none,,
H015,High,american beech,1.7,07-Jun,10:15,19,65%,No,medium,none,none,,
H015,High,dead,9.3,07-Jun,10:15,19,65%,No,medium,low,low,,
H015,High,sugar maple,20,07-Jun,10:15,19,65%,No,medium,none,none,,
H016,High,sugar maple,33.7,07-Jun,11:10,21,57%,Yes,high,none,none,,
H016,High,sugar maple,7.5,07-Jun,11:10,21,57%,Yes,high,none,none,multiple trunks,
H016,High,sugar maple,33.7,07-Jun,11:10,21,57%,Yes,low,none,none,,
H016,High,sugar maple,7.5,07-Jun,11:10,21,57%,Yes,low,none,none,multiple trunks,
H016,High,sugar maple,33.7,07-Jun,11:10,21,57%,Yes,medium,none,none,,
H016,High,sugar maple,7.5,07-Jun,11:10,21,57%,Yes,medium,none,none,multiple trunks,
H016,High,sugar maple,48,07-Jun,11:10,21,57%,No,high,low,none,multiple trunks,
H016,High,sugar maple,1.2,07-Jun,11:10,21,57%,No,high,none,none,,
H016,High,dead,1.1,07-Jun,11:10,21,57%,No,high,none,none,,
H016,High,sugar maple,1.3,07-Jun,11:10,21,57%,No,high,none,none,,
H016,High,sugar maple,1.1,07-Jun,11:10,21,57%,No,high,none,none,,
H016,High,american beech,14,07-Jun,11:10,21,57%,No,high,low,none,,
H016,High,sugar maple,11.1,07-Jun,11:10,21,57%,No,high,none,none,,
H016,High,sugar maple,1.7,07-Jun,11:10,21,57%,No,high,none,none,,
H016,High,sugar maple,1,07-Jun,11:10,21,57%,No,high,none,none,,
H016,High,sugar maple,1.2,07-Jun,11:10,21,57%,No,high,none,none,,
H016,High,sugar maple,1.4,07-Jun,11:10,21,57%,No,high,none,none,,
H016,High,sugar maple,1.3,07-Jun,11:10,21,57%,No,high,none,none,,
H016,High,sugar maple,1.3,07-Jun,11:10,21,57%,No,high,none,none,,
H016,High,sugar maple,48,07-Jun,11:10,21,57%,No,low,low,none,multiple trunks,
H016,High,sugar maple,1.2,07-Jun,11:10,21,57%,No,low,none,none,,
H016,High,dead,1.1,07-Jun,11:10,21,57%,No,low,none,none,,
H016,High,sugar maple,1.3,07-Jun,11:10,21,57%,No,low,none,none,,
H016,High,sugar maple,1.1,07-Jun,11:10,21,57%,No,low,none,none,,
H016,High,american beech,14,07-Jun,11:10,21,57%,No,low,low,none,,
H016,High,sugar maple,11.1,07-Jun,11:10,21,57%,No,low,none,none,,
H016,High,sugar maple,1.7,07-Jun,11:10,21,57%,No,low,none,none,,
H016,High,sugar maple,1,07-Jun,11:10,21,57%,No,low,none,none,,
H016,High,sugar maple,1.2,07-Jun,11:10,21,57%,No,low,none,none,,
H016,High,sugar maple,1.4,07-Jun,11:10,21,57%,No,low,none,none,,
H016,High,sugar maple,1.3,07-Jun,11:10,21,57%,No,low,none,none,,
H016,High,sugar maple,1.3,07-Jun,11:10,21,57%,No,low,none,none,,
H016,High,sugar maple,48,07-Jun,11:10,21,57%,No,medium,low,none,multiple trunks,
H016,High,sugar maple,1.2,07-Jun,11:10,21,57%,No,medium,none,none,,
H016,High,dead,1.1,07-Jun,11:10,21,57%,No,medium,none,none,,
H016,High,sugar maple,1.3,07-Jun,11:10,21,57%,No,medium,none,none,,
H016,High,sugar maple,1.1,07-Jun,11:10,21,57%,No,medium,none,none,,
H016,High,american beech,14,07-Jun,11:10,21,57%,No,medium,none,none,,
